magazine,title,date,identifier,archive_url
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016698998
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016699178
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016699186
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016699194
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016760590
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015016760608
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036882
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036890
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036908
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036916
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036924
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036932
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036940
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018036957
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018049000
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018049018
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015018049356
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015050967788
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015050967796
Billboard,,,,https://babel.hathitrust.org/cgi/pt?id=mdp.39015053239755
Billboard,"04 Media Publikasi BKKBN, Billboard - Buku Panduan Identitas BKKBN",,bkkbnbillboardhorizontal,https://archive.org/details/bkkbnbillboardhorizontal
Billboard,Art & Science of Billboard Liberation - 2008 Edition,,ArtScienceOfBillboardLiberation-2008Edition,https://archive.org/details/ArtScienceOfBillboardLiberation-2008Edition
Billboard,BKKBN Billboard Horizontal,,bkkbn-billboard-horizontal,https://archive.org/details/bkkbn-billboard-horizontal
