date,network,time,program,episode,source,archive_url
1995-01-01,,,TV Guide 1/7/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950107-nyc
1995-01-01,,,TV Guide 11/18/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19951118-nyc
1995-01-01,,,TV Guide 2/4/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950204-nyc
1995-01-01,,,TV Guide 4/1/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950401-nyc
1995-01-01,,,TV Guide 4/22/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950422-nyc
1995-01-01,,,TV Guide 4/29/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950429-nyc
1995-01-01,,,TV Guide 4/8/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950408-nyc
1995-01-01,,,TV Guide 5/13/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950513-nyc
1995-01-01,,,TV Guide 5/20/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950520-nyc
1995-01-01,,,TV Guide 5/27/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950527-nyc
1995-01-01,,,TV Guide 5/6/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950506-nyc
1995-01-01,,,TV Guide 6/17/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950617-nyc
1995-01-01,,,TV Guide 6/24/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950624-nyc
1995-01-01,,,TV Guide 7/1/1995 (NYC),,Internet Archive,https://archive.org/details/tvguide-19950701-nyc
1996-01-01,,,Prime-time style : the ultimate TV guide to fashion hits-- and misses,,Internet Archive,https://archive.org/details/primetimestyleul0000fran
1996-01-01,,,The Lake Placid News - TV Listings - 03-16-1996,,Internet Archive,https://archive.org/details/LPNTVL03161996
1997-01-01,,,TV Guide (1997/03/29 to 04) God And Television (N Indiana),,Internet Archive,https://archive.org/details/1997-03-29-to-04-tv-guide-n-ind-god-and-television-red
1997-01-01,,,TV Guide - (1997/09/13 to 19) - FALL PREVIEW (N Indiana),,Internet Archive,https://archive.org/details/1997-09-13-to-19-tv-guide-n-ind-fall-preview-red
1998-01-01,,,TV Guide - (1998/01/03 to 09) The Simpsons (N Ind),,Internet Archive,https://archive.org/details/1998-01-03-to-09-tv-guide-n-ind-the-simpsons-red
1998-01-01,,,TV Guide - (1998/09/26 to 02) (N Ind) Girl Power,,Internet Archive,https://archive.org/details/1998-09-26-to-02-tv-guide-n-ind-girl-power-red
1998-01-01,,,TV Guide - 1998/08/15 to 21 - ( N Ind) Diana,,Internet Archive,https://archive.org/details/1998-08-15-to-21-tv-guide-n-ind-diana-red
1998-01-01,,,The TV Guide book of lists,,Internet Archive,https://archive.org/details/tvguidebookoflis0000unse_n3k7
1999-01-01,,,Perth TV Guide 31121999,,Internet Archive,https://archive.org/details/perth-tv-guide-31121999
1999-01-01,,,TV Guide - (1999/05/01 to 07) (Cincinnati) Kentucky Derby Special,,Internet Archive,https://archive.org/details/1999-05-01-to-07-tv-guide-cincinnati-kentucky-derby-special-red
1999-01-01,,,TV Guide - 1999/08/21 to 27 - (Cincinnati) - Cher,,Internet Archive,https://archive.org/details/1999-08-21-to-27-tv-guide-cincinnati-cher-red
1999-01-01,,,"TV Guide January 23 29, 1999 Albany NY Edition",,Internet Archive,https://archive.org/details/tv-guide-january-23-29-1999-albany-ny-edition
1999-01-01,,,TV heaven : the ultimate TV guide,,Internet Archive,https://archive.org/details/tvheavenultimate0000stem
2000-01-01,,,ONdigital TV Guide April 2000,,Internet Archive,https://archive.org/details/ondigital-tv-guide-april-2000
2000-01-01,,,Perth TV Guide 01102000,,Internet Archive,https://archive.org/details/perth-tv-guide-01102000
2000-01-01,,,Perth TV Guide 15092000,,Internet Archive,https://archive.org/details/perth-tv-guide-15092000
2000-01-01,,,Perth TV Guide 24122000,,Internet Archive,https://archive.org/details/perth-tv-guide-24122000
2000-01-01,,,Perth TV Guide 29092000,,Internet Archive,https://archive.org/details/perth-tv-guide-29092000
2000-01-01,,,Perth TV Guide 31122000,,Internet Archive,https://archive.org/details/perth-tv-guide-31122000
2000-01-01,,,TV Guide - 2000/08/26 to 01 - (TWC Manhattan) NSYNC,,Internet Archive,https://archive.org/details/2000-08-26-to-01-tv-guide-twc-manhattan-nsync-red
2000-01-01,,,TV Guide 2482 ( 2000 10) V. 048 043,,Internet Archive,https://archive.org/details/TVGuide2482200010V.048043
2000-01-01,,,TV Guide v48n43 (#2482) [2000-10-21] (Northern California edition) (jodyanimator),,Internet Archive,https://archive.org/details/tvguidev48n43248220001021jodyanimator
2000-01-01,,,TVGuideCrosswordPuzzles (Volume6) [TV Guide crossword puzzles. English original](Chinese Edition),,Internet Archive,https://archive.org/details/isbn_9781559935814
