week_date,top_song,top_artist,tv_programs,magazine_titles,radio_top_tracks
1973-06-18,My Love,Paul Mccartney And Wings,,,
1973-06-25,Give Me Love - (Give Me Peace On Earth),George Harrison,,,
1973-07-02,Will It Go Round In Circles,Billy Preston,,,
1973-07-09,Will It Go Round In Circles,Billy Preston,,,
1973-07-16,"Bad, Bad Leroy Brown",Jim Croce,,,
1973-07-23,"Bad, Bad Leroy Brown",Jim Croce,,,
1973-07-30,The Morning After,Maureen Mcgovern,,,
1973-08-06,The Morning After,Maureen Mcgovern,,,
1973-08-13,Touch Me In The Morning,Diana Ross,,,
1973-08-20,Brother Louie,Stories,,,
1973-08-27,Brother Louie,Stories,,,
1973-09-03,Let's Get It On,Marvin Gaye,,,
1973-09-10,Delta Dawn,Helen Reddy,,,
1973-09-17,Let's Get It On,Marvin Gaye,,,
1973-09-24,We're An American Band,Grand Funk,,,
1973-10-01,Half-Breed,Cher,,,
1973-10-08,Half-Breed,Cher,,,
1973-10-15,Angie,The Rolling Stones,,,
1973-10-22,Midnight Train To Georgia,Gladys Knight And The Pips,,,
1973-10-29,Midnight Train To Georgia,Gladys Knight And The Pips,,,
1973-11-05,Keep On Truckin' (Part 1),Eddie Kendricks,,,
1973-11-12,Keep On Truckin' (Part 1),Eddie Kendricks,,,
1973-11-19,Photograph,Ringo Starr,,,
1973-11-26,Top Of The World,Carpenters,,,
1973-12-03,Top Of The World,Carpenters,,,
1973-12-10,The Most Beautiful Girl,Charlie Rich,,,
1973-12-17,The Most Beautiful Girl,Charlie Rich,,,
1973-12-24,Time In A Bottle,Jim Croce,,,
1973-12-31,Time In A Bottle,Jim Croce,TV Guide v22n22 (#1105) [1974-06-01] (jodyanimator),"1974 PAGES FROM NATIONAL LAMPOON; All male or female persons seventeen years of age or over listed in the City of Everett, January 1, 1974; Billboard; Billboard v.86 1974 Jan-Feb; Billboard v.86 1974 Jun-Aug",
1974-01-07,The Joker,The Steve Miller Band,,,
1974-01-14,Show And Tell,Al Wilson,,,
1974-01-21,You're Sixteen,Ringo Starr,,,
1974-01-28,The Way We Were,Barbra Streisand,,,
1974-02-04,Love's Theme,Love Unlimited Orchestra,,,
1974-02-11,The Way We Were,Barbra Streisand,,,
1974-02-18,The Way We Were,Barbra Streisand,,,
1974-02-25,Seasons In The Sun,Terry Jacks,,,
1974-03-04,Seasons In The Sun,Terry Jacks,,,
1974-03-11,Seasons In The Sun,Terry Jacks,,,
1974-03-18,Dark Lady,Cher,,,
